dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_eval_total,ci_low_both_rules,ci_high_both_rules,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,parentheses_and_brackets,32,uniform,greedy,,,32,5,0.658,0.047074,1.0,0.0,0.658,0.047074,0.936,0.039294,500,0.615355,0.698235,31.372,32,False,2538.88,329,False,1.0,0.0,0.14014525753768844,200,0.0003921953132660065,0.0008105369807497467,,,,,,,0.39190729483282677,0.10353988295917081,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T32_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,100.0,,16,5,0.702,0.016,1.0,0.0,0.702,0.016,0.9,0.044721,500,0.660492,0.740427,15.614,17,False,1735.6,351,False,1.0,0.0,0.13963410804020102,200,0.00036761327083907727,0.0007597340930674264,,,,,,,0.40865384615384615,0.1081621947676035,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T16_gaussian_greedy_sigma100.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,16,5,0.5,0.029665,1.0,0.0,0.5,0.029665,0.53,0.022804,500,0.45634,0.54366,13.018,16,False,2130.96,250,False,1.0,0.0,0.14384108040201005,200,0.0005161290322580645,0.0010666666666666667,,,,,,,0.2705,0.060866657539247214,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T16_gaussian_greedy_sigma2.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,256.0,,16,5,0.706,0.018547,1.0,0.0,0.706,0.018547,0.9,0.026833,500,0.664616,0.744242,15.746,17,False,1994.72,353,False,1.0,0.0,0.14147534547738694,200,0.0003655304761034451,0.0007554296506137865,,,,,,,0.4187322946175637,0.10851709636511936,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T16_gaussian_greedy_sigma256.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,16,5,0.758,0.021354,1.0,0.0,0.758,0.021354,0.89,0.028983,500,0.718583,0.793483,14.646,17,False,2203.89,379,False,1.0,0.0,0.13963410804020102,200,0.0003404545067665333,0.0007036059806508355,,,,,,,0.3954485488126649,0.10537921528956481,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T16_gaussian_greedy_sigma20.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,16,5,0.458,0.038678,1.0,0.0,0.458,0.038678,0.464,0.037202,500,0.414814,0.501827,13.146,16,False,2431.6,229,False,1.0,0.0,0.1366441582914573,200,0.0005634596422031273,0.0011644832605531296,,,,,,,0.2535480349344978,0.04603959144969333,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T16_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,16,5,0.592,0.026382,1.0,0.0,0.592,0.026382,0.698,0.027857,500,0.548379,0.634218,13.588,17,False,2321.6,296,False,1.0,0.0,0.1463049623115578,200,0.00043591979075850045,0.0009009009009009009,,,,,,,0.3061655405405405,0.07071809252124206,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T16_gaussian_greedy_sigma5.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,16,5,0.744,0.028,1.0,0.0,0.744,0.028,0.876,0.034409,500,0.703986,0.780293,15.134,17,False,2251.76,372,False,1.0,0.0,0.1414533605527638,200,0.000346860908775581,0.0007168458781362007,,,,,,,0.4025537634408602,0.1073618945928568,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T16_gaussian_greedy_sigma50.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,16,5,0.692,0.026382,1.0,0.0,0.692,0.026382,0.816,0.025768,500,0.650197,0.730875,13.956,17,False,2502.83,346,False,1.0,0.0,0.14522927135678393,200,0.00037292560134253216,0.0007707129094412332,,,,,,,0.36235549132947975,0.09163917957321027,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T16_gaussian_greedy_sigma10.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,64,5,0.842,0.036551,1.0,0.0,0.84,0.034641,0.858,0.041665,500,0.805291,0.869524,58.492,63,False,4121.5,420,False,1.0,0.0,0.2724851328114322,200,0.0010874631039304024,0.003854183394893207,,,,,,,0.3638329626722484,0.09547849740641577,1.2074450879808023,0.7195309360175676,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T64_uniform_categorical_none.json
