dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_eval_total,ci_low_both_rules,ci_high_both_rules,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,baN,128,uniform,categorical,,,128,5,0.798,0.050359,0.996,0.004899,0.794,0.056071,0.992,0.011662,500,0.756373,0.827144,126.982,128,False,567.89,397,False,1.0,0.0,0.1586029418314737,200,8.000960115213825e-05,0.00016130007863378833,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T128_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,256.0,,32,5,0.408,0.054185,1.0,0.0,0.408,0.054185,0.998,0.004,500,0.365782,0.451621,32.646,33,False,305.78,204,False,0.47058823529411764,0.5294117647058824,0.007746545226130653,200,0.0001157943492357573,0.0001556178026766262,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T32_gaussian_greedy_sigma256.0.json
unconditional,baN,128,gaussian,greedy,100.0,,32,5,0.68,0.042426,1.0,0.0,0.68,0.042426,0.99,0.006325,500,0.637872,0.719383,32.04,33,False,419.33,340,False,0.2823529411764706,0.7176470588235294,0.007693938442211055,200,6.947660954145438e-05,9.337068160597572e-05,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T32_gaussian_greedy_sigma100.0.json
unconditional,baN,128,gaussian,greedy,5.0,,16,5,0.484,0.067112,1.0,0.0,0.484,0.067112,0.858,0.026382,500,0.440485,0.527759,15.688,17,False,552.31,242,False,0.1322314049586777,0.8677685950413223,0.007132341394472361,200,9.761176547146483e-05,0.00013118194936376755,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T16_gaussian_greedy_sigma5.0.json
unconditional,baN,128,gaussian,greedy,2.0,,16,5,0.512,0.060465,1.0,0.0,0.512,0.060465,0.996,0.004899,500,0.468261,0.555556,15.996,16,False,585.95,256,False,0.14453125,0.85546875,0.007897298994974874,200,9.227362204724409e-05,0.0001240079365079365,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T16_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,50.0,,32,5,0.728,0.011662,1.0,0.0,0.728,0.011662,0.988,0.011662,500,0.687367,0.765157,31.186,33,False,572.44,364,False,0.16758241758241757,0.8324175824175825,0.0075706658291457285,200,6.489573418707277e-05,8.721437292865864e-05,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T32_gaussian_greedy_sigma50.0.json
unconditional,baN,128,uniform,categorical,,,256,5,0.886,0.021541,0.998,0.004,0.884,0.02245,0.998,0.004,500,0.852958,0.909187,253.312,255,False,898.05,442,False,1.0,0.0,0.15943482675290593,200,7.186360288173047e-05,0.0001448776689183071,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T256_uniform_categorical_none.json
unconditional,baN,128,uniform,greedy,,,256,5,0.788,0.027129,1.0,0.0,0.788,0.027129,0.998,0.004,500,0.750047,0.821561,253.392,255,False,913.66,394,False,0.31218274111675126,0.6878172588832487,0.007754396984924623,200,7.993924617290859e-05,0.00012086052695189751,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T256_uniform_greedy_none.json
unconditional,baN,128,gaussian,greedy,256.0,,64,5,0.48,0.043359,1.0,0.0,0.48,0.043359,1.0,0.0,500,0.436528,0.523777,64.392,65,False,580.86,240,False,0.43333333333333335,0.5666666666666667,0.007744189698492462,200,9.84251968503937e-05,0.00013227513227513228,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T64_gaussian_greedy_sigma256.0.json
unconditional,baN,128,gaussian,greedy,20.0,,32,5,0.714,0.042708,1.0,0.0,0.714,0.042708,0.952,0.017205,500,0.672876,0.751861,30.674,33,False,873.14,357,False,0.11204481792717087,0.8879551820728291,0.007402245603015075,200,6.616819956328988e-05,8.892445867235783e-05,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T32_gaussian_greedy_sigma20.0.json
